DTDPDEHYRHAMREDUCT__45__RXN	['DTDPDEHYRHAMREDUCT__45__RXN']
RXN__45__14371	['RXN__45__14371']
RXN__45__16626	['RXN__45__16626']
RXNQT__45__4174	['RXNQT__45__4174']
RXN__45__10715	['RXN__45__10715']
RXN__45__16625	['RXN__45__16625']
RXN__45__16622	['RXN__45__16622']
RXN__45__16623	[]
RXN__45__16621	['RXN__45__16621']
LEUCYLTRANSFERASE__45__RXN	['LEUCYLTRANSFERASE__45__RXN']
DNA__45__CYTOSINE__45__5__45____45__METHYLTRANSFERASE__45__RXN	['DNA__45__CYTOSINE__45__5__45____45__METHYLTRANSFERASE__45__RXN']
RXN__45__8975	['RXN__45__8975']
RXN__45__8976	['RXN__45__8976']
PRPPSYN__45__RXN	['PRPPSYN__45__RXN']
RXN__45__10660	[]
_1__46__8__46__4__46__14__45__RXN	[]
RXN1A0__45__6303	['RXN1A0__45__6303']
RXN__45__16391	['RXN__45__16391']
RXN__45__10703	[]
ASPCARBTRANS__45__RXN	['ASPCARBTRANS__45__RXN']
RXN__45__10701	['RXN__45__10701']
RXN__45__10700	['RXN__45__10700']
N__45__ACETYLGLUTPREDUCT__45__RXN	['N__45__ACETYLGLUTPREDUCT__45__RXN']
RXN__45__10704	[]
NICONUCADENYLYLTRAN__45__RXN	['NICONUCADENYLYLTRAN__45__RXN']
_1TRANSKETO__45__RXN	['_1TRANSKETO__45__RXN']
HOLO__45__ACP__45__SYNTH__45__RXN	['HOLO__45__ACP__45__SYNTH__45__RXN']
BRANCHED__45__CHAINAMINOTRANSFERILEU__45__RXN	['BRANCHED__45__CHAINAMINOTRANSFERILEU__45__RXN']
TRIOSEPISOMERIZATION__45__RXN	['TRIOSEPISOMERIZATION__45__RXN']
RXN__45__11211	['RXN__45__11211']
