DTDPDEHYRHAMREDUCT__45__RXN	['DTDPDEHYRHAMREDUCT__45__RXN']
RXN__45__10089	['RXN__45__10089']
RXN__45__9237	[]
_3__46__5__46__1__46__88__45__RXN	['_3__46__5__46__1__46__88__45__RXN']
ALARACECAT__45__RXN	['ALARACECAT__45__RXN']
RXN__45__14480	[]
RXN__45__14481	[]
INOPHOSPHOR__45__RXN	['INOPHOSPHOR__45__RXN']
RXN__45__11301	[]
RXN0__45__884	['RXN0__45__884']
RXN__45__8890	['RXN__45__8890']
RXN0__45__882	['RXN0__45__882']
TRANS__45__RXN__45__168	[]
RXN__45__16561	[]
RXN__45__8001	['RXN__45__8001']
GUANPRIBOSYLTRAN__45__RXN	['GUANPRIBOSYLTRAN__45__RXN']
RXN__45__14971	['RXN__45__14971']
RXN__45__16319__45__CPD__45__14557__47__Cytochromes__45__c3__45__Reduced__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Cytochromes__45__c3__45__Oxidized__47__WATER__46__95__46__	['RXN__45__16319__45__CPD__45__14557__47__Cytochromes__45__c3__45__Reduced__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Cytochromes__45__c3__45__Oxidized__47__WATER__46__95__46__']
R311__45__RXN	[]
DCYSDESULF__45__RXN	['DCYSDESULF__45__RXN']
R345__45__RXN	['R345__45__RXN']
RXN__45__10060	['RXN__45__10060']
RXN__45__10061	['RXN__45__10061']
_3__46__4__46__11__46__1__45__RXN	['_3__46__4__46__11__46__1__45__RXN']
_3__46__4__46__11__46__18__45__RXN	[]
ADENOSYLHOMOCYSTEINASE__45__RXN	['ADENOSYLHOMOCYSTEINASE__45__RXN']
DTDPDEHYDRHAMEPIM__45__RXN	['DTDPDEHYDRHAMEPIM__45__RXN']
RXN__45__11348	['RXN__45__11348']
PHENDEHYD__45__RXN	['PHENDEHYD__45__RXN']
NADH__45__DEHYDROG__45__A__45__RXN	['NADH__45__DEHYDROG__45__A__45__RXN']
RXN__45__14136	['RXN__45__14136']
_2__46__7__46__3__46__9__45__RXN	['_2__46__7__46__3__46__9__45__RXN']
RXN__45__16910	['RXN__45__16910']
RXN__45__12448	['RXN__45__12448']
_2__46__1__46__1__46__79__45__RXN	[]
TRANS__45__RXN__45__157__45__Hpr__45__pi__45__phospho__45__L__45__histidines__47__ALPHA__45__GLUCOSE__47____47__GLC__45__6__45__P__47__Hpr__45__Histidine__46__65__46__	[]
BIOTINLIG__45__RXN	['BIOTINLIG__45__RXN']
RXN__45__1623__45__CPD__45__9965__47__1__45__PALMITOYLGLYCEROL__45__3__45__PHOSPHATE__47____47__CPD0__45__1423__47__CO__45__A__46__57__46__	[]
RXN0__45__947	['RXN0__45__947']
METHYLACYLYLCOA__45__HYDROXY__45__RXN	[]
UGD__45__RXN	['UGD__45__RXN']
RXN__45__16319__45__CPD__45__14557__47__Reduced__45__cytochromes__45__c553__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Oxidized__45__cytochromes__45__c553__47__WATER__46__99__46__	['RXN__45__16319__45__CPD__45__14557__47__Reduced__45__cytochromes__45__c553__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__Oxidized__45__cytochromes__45__c553__47__WATER__46__99__46__']
RXN__45__12444	['RXN__45__12444']
RXN__45__8761	[]
ACYLCOADEHYDROG__45__RXN__45__CPD__45__10267__47__ETF__45__Oxidized__47__PROTON__47____47__T2__45__DECENOYL__45__COA__47__ETF__45__Reduced__46__59__46__	[]
RXN__45__10018	['RXN__45__10018']
RXN__45__9520	['RXN__45__9520']
ADOMET__45__DMK__45__METHYLTRANSFER__45__RXN	['ADOMET__45__DMK__45__METHYLTRANSFER__45__RXN']
RXN0__45__2161	['RXN0__45__2161']
RXN__45__8769	['RXN__45__8769']
THREDEHYD__45__RXN	['THREDEHYD__45__RXN']
RXN0__45__5393	[]
RXN__45__10017	['RXN__45__10017']
RXN__45__10016	['RXN__45__10016']
RXN__45__10015	['RXN__45__10015']
RXN__45__9615	['RXN__45__9615']
RXN__45__5284	['RXN__45__5284']
_2__46__3__46__2__46__13__45__RXN	['_2__46__3__46__2__46__13__45__RXN']
RXN__45__5283	['RXN__45__5283']
RXN__45__5282	['RXN__45__5282']
RXN__45__7800	['RXN__45__7800']
RXN66__45__546__45__4__45__HYDROXY__45__L__45__PROLINE__47__NAD__47____47__PYRROLINE__45__HYDROXY__45__CARBOXYLATE__47__NADH__47__PROTON__46__67__46__	['RXN66__45__546__45__4__45__HYDROXY__45__L__45__PROLINE__47__NAD__47____47__PYRROLINE__45__HYDROXY__45__CARBOXYLATE__47__NADH__47__PROTON__46__67__46__']
RXN0__45__2382	['RXN0__45__2382']
RXN__45__2425	[]
RXN__45__16318	['RXN__45__16318']
RXN__45__16319	['RXN__45__16319']
RXN1G__45__499	['RXN1G__45__499']
RXN__45__7913	['RXN__45__7913']
_3__45__HYDROXYDECANOYL__45__ACP__45__DEHYDR__45__RXN__45__3__45__HYDROXY__45__DOCOSAPENTAENOYL__45__ACP__47____47__DOCOSAPENTAENOYL__45__2__45__ENOYL__45__ACP__47__WATER__46__67__46__	['_3__45__HYDROXYDECANOYL__45__ACP__45__DEHYDR__45__RXN__45__3__45__HYDROXY__45__DOCOSAPENTAENOYL__45__ACP__47____47__DOCOSAPENTAENOYL__45__2__45__ENOYL__45__ACP__47__WATER__46__67__46__']
_1__46__2__46__1__46__2__45__RXN	['_1__46__2__46__1__46__2__45__RXN']
ACYLPHOSPHATASE__45__RXN	['ACYLPHOSPHATASE__45__RXN']
RXN0__45__5199	['RXN0__45__5199']
MALTODEG__45__RXN__45__MALTOHEXAOSE__47__MALTOSE__47____47__CPD0__45__1133__47__GLC__46__36__46__	['MALTODEG__45__RXN__45__MALTOHEXAOSE__47__MALTOSE__47____47__CPD0__45__1133__47__GLC__46__36__46__']
RXN66__45__546__45__4__45__HYDROXY__45__L__45__PROLINE__47__NADP__47____47__PYRROLINE__45__HYDROXY__45__CARBOXYLATE__47__NADPH__47__PROTON__46__69__46__	['RXN66__45__546__45__4__45__HYDROXY__45__L__45__PROLINE__47__NADP__47____47__PYRROLINE__45__HYDROXY__45__CARBOXYLATE__47__NADPH__47__PROTON__46__69__46__']
CITLY__45__RXN	['CITLY__45__RXN']
RXN__45__10654	['RXN__45__10654']
TRANS__45__HEXAPRENYLTRANSTRANSFERASE__45__RXN	['TRANS__45__HEXAPRENYLTRANSTRANSFERASE__45__RXN']
RXN__45__15006	['RXN__45__15006']
RXN__45__15005	['RXN__45__15005']
RXN__45__19236	['RXN__45__19236']
GLUTAMATE__45__N__45__ACETYLTRANSFERASE__45__RXN	['GLUTAMATE__45__N__45__ACETYLTRANSFERASE__45__RXN']
NAD__45__SYNTH__45__GLN__45__RXN	['NAD__45__SYNTH__45__GLN__45__RXN']
GLUCOKIN__45__RXN__45__ALPHA__45__GLUCOSE__47__ATP__47____47__D__45__glucopyranose__45__6__45__phosphate__47__ADP__47__PROTON__46__58__46__	[]
RNA__45__3__45__PHOSPHATE__45__CYCLASE__45__RXN	['RNA__45__3__45__PHOSPHATE__45__CYCLASE__45__RXN']
FPPSYN__45__RXN	['FPPSYN__45__RXN']
CDPREDUCT__45__RXN	['CDPREDUCT__45__RXN']
RIB5PISOM__45__RXN	['RIB5PISOM__45__RXN']
PANTOATE__45__BETA__45__ALANINE__45__LIG__45__RXN	['PANTOATE__45__BETA__45__ALANINE__45__LIG__45__RXN']
RXN__45__161	['RXN__45__161']
RXN0__45__5398	['RXN0__45__5398']
_3__46__5__46__1__46__27__45__RXN	['_3__46__5__46__1__46__27__45__RXN']
RXNQT__45__4168	['RXNQT__45__4168']
PHOSPHAGLYPSYN__45__RXN	['PHOSPHAGLYPSYN__45__RXN']
_2TRANSKETO__45__RXN	['_2TRANSKETO__45__RXN']
RXN0__45__262	['RXN0__45__262']
RXN__45__16637	['RXN__45__16637']
_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Cytochromes__45__C__45__Reduced__47__PROTON__47____47__AMMONIUM__47__Cytochromes__45__C__45__Oxidized__47__WATER__46__76__46__	['_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Cytochromes__45__C__45__Reduced__47__PROTON__47____47__AMMONIUM__47__Cytochromes__45__C__45__Oxidized__47__WATER__46__76__46__']
RXN__45__16630	['RXN__45__16630']
HYPOXANPRIBOSYLTRAN__45__RXN	['HYPOXANPRIBOSYLTRAN__45__RXN']
RXNQT__45__4165	['RXNQT__45__4165']
RXN__45__9380	['RXN__45__9380']
RXN__45__9383	[]
RXN__45__9384	['RXN__45__9384']
THREONINE__45__ALDOLASE__45__RXN	['THREONINE__45__ALDOLASE__45__RXN']
RXN__45__12994__45__CPD__45__14419__47__NADP__47____47__CPD__45__14422__47__NADPH__47__PROTON__46__39__46__	['RXN__45__12994__45__CPD__45__14419__47__NADP__47____47__CPD__45__14422__47__NADPH__47__PROTON__46__39__46__']
RXN__45__13163	['RXN__45__13163']
RXN__45__14774	['RXN__45__14774']
GLYCINE__45____45__TRNA__45__LIGASE__45__RXN	['GLYCINE__45____45__TRNA__45__LIGASE__45__RXN']
RXN0__45__2381	['RXN0__45__2381']
DTDPGLUCDEHYDRAT__45__RXN	['DTDPGLUCDEHYDRAT__45__RXN']
_3__46__4__46__24__46__32__45__RXN__45__C6__47__WATER__47____47__CPD__45__15797__47__CPD0__45__1085__46__30__46__	['_3__46__4__46__24__46__32__45__RXN__45__C6__47__WATER__47____47__CPD__45__15797__47__CPD0__45__1085__46__30__46__']
RXN0__45__7008	[]
METHYLMALONYL__45__COA__45__MUT__45__RXN	['METHYLMALONYL__45__COA__45__MUT__45__RXN']
TRYPTOPHAN__45__AMINOTRANSFERASE__45__RXN	[]
URACIL__45__PRIBOSYLTRANS__45__RXN	['URACIL__45__PRIBOSYLTRANS__45__RXN']
AMYLOMALT__45__RXN	['AMYLOMALT__45__RXN']
AIRS__45__RXN	['AIRS__45__RXN']
DAHPSYN__45__RXN	['DAHPSYN__45__RXN']
CYTOCHROME__45__C__45__PEROXIDASE__45__RXN__45__HYDROGEN__45__PEROXIDE__47__Reduced__45__cytochromes__45__c2__47__PROTON__47____47__Oxidized__45__cytochromes__45__c2__47__WATER__46__79__46__	[]
SERINE__45__C__45__PALMITOYLTRANSFERASE__45__RXN	[]
DETHIOBIOTIN__45__SYN__45__RXN	['DETHIOBIOTIN__45__SYN__45__RXN']
RIBOFLAVINSYNDEAM__45__RXN	['RIBOFLAVINSYNDEAM__45__RXN']
RXN66__45__479	['RXN66__45__479']
RXN__45__14517	['RXN__45__14517']
RXN__45__11347	['RXN__45__11347']
RXN__45__14196	['RXN__45__14196']
RXN__45__10697	[]
HOMOSERDEHYDROG__45__RXN__45__HOMO__45__SER__47__NADP__47____47__L__45__ASPARTATE__45__SEMIALDEHYDE__47__NADPH__47__PROTON__46__53__46__	['HOMOSERDEHYDROG__45__RXN__45__HOMO__45__SER__47__NADP__47____47__L__45__ASPARTATE__45__SEMIALDEHYDE__47__NADPH__47__PROTON__46__53__46__']
RXN__45__10699	['RXN__45__10699']
RXN__45__10698	[]
RXN__45__11743	['RXN__45__11743']
CHEBDEAMID__45__RXN	[]
PEPDEPHOS__45__RXN	['PEPDEPHOS__45__RXN']
RXN__45__11746	['RXN__45__11746']
FADSYN__45__RXN	['FADSYN__45__RXN']
RXN__45__16318__45__HYDROXYLAMINE__47__Oxidized__45__cytochromes__45__c553__47____47__CPD__45__14557__47__Reduced__45__cytochromes__45__c553__47__PROTON__46__83__46__	['RXN__45__16318__45__HYDROXYLAMINE__47__Oxidized__45__cytochromes__45__c553__47____47__CPD__45__14557__47__Reduced__45__cytochromes__45__c553__47__PROTON__46__83__46__']
RXN__45__14290	['RXN__45__14290']
RXN__45__16136	[]
RXN__45__16137	['RXN__45__16137']
DARAB5PISOM__45__RXN	[]
RXN__45__16135	[]
TRYPSYN__45__RXN	['TRYPSYN__45__RXN']
RXN66__45__476	['RXN66__45__476']
RXNQT__45__4178	['RXNQT__45__4178']
RXN__45__11832	['RXN__45__11832']
_1__46__5__46__1__46__9__45__RXN	['_1__46__5__46__1__46__9__45__RXN']
RXN__45__17928	['RXN__45__17928']
_2__46__7__46__1__46__156__45__RXN__45__ITP__47__ADENOSYLCOBINAMIDE__47____47__ADENOSYLCOBINAMIDE__45__P__47__IDP__47__PROTON__46__56__46__	['_2__46__7__46__1__46__156__45__RXN__45__ITP__47__ADENOSYLCOBINAMIDE__47____47__ADENOSYLCOBINAMIDE__45__P__47__IDP__47__PROTON__46__56__46__']
RXN__45__11836	[]
RXN__45__11837	[]
RXN__45__11834	[]
RXN__45__11835	[]
RXN__45__14192	['RXN__45__14192']
RXN__45__11346	['RXN__45__11346']
RXN__45__16629	['RXN__45__16629']
RXN__45__8505	['RXN__45__8505']
RXN__45__13564	[]
RXN__45__16558	[]
RXN__45__16319__45__CPD__45__14557__47__a__45__reduced__45__NrfB__45__protein__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__an__45__oxidized__45__NrfB__45__protein__47__WATER__46__96__46__	['RXN__45__16319__45__CPD__45__14557__47__a__45__reduced__45__NrfB__45__protein__47__OXYGEN__45__MOLECULE__47__PROTON__47____47__NITRITE__47__an__45__oxidized__45__NrfB__45__protein__47__WATER__46__96__46__']
RXN__45__13565	[]
ENTDB__45__RXN	['ENTDB__45__RXN']
RXN0__45__20	['RXN0__45__20']
ADENYLYLSULFKIN__45__RXN	['ADENYLYLSULFKIN__45__RXN']
OHMETHYLBILANESYN__45__RXN	['OHMETHYLBILANESYN__45__RXN']
XMPXAN__45__RXN	['XMPXAN__45__RXN']
MANNPGUANYLTRANGDP__45__RXN	[]
RXN__45__9524	['RXN__45__9524']
RXN__45__13617	['RXN__45__13617']
ACETOOHBUTSYN__45__RXN	['ACETOOHBUTSYN__45__RXN']
RXN1G__45__3641	[]
_2OXOGLUTDECARB__45__RXN	['_2OXOGLUTDECARB__45__RXN']
BETA__45__LACTAMASE__45__RXN	[]
TRNA__45__PSEUDOURIDINE__45__SYNTHASE__45__I__45__RXN	['TRNA__45__PSEUDOURIDINE__45__SYNTHASE__45__I__45__RXN']
TRANS__45__RXN__45__157__45__Hpr__45__pi__45__phospho__45__L__45__histidines__47__GLC__47____47__GLC__45__6__45__P__47__Hpr__45__Histidine__46__55__46__	[]
RXN__45__10953	['RXN__45__10953']
RXN1G__45__349	['RXN1G__45__349']
RXN__45__18206	['RXN__45__18206']
RXN__45__18207	['RXN__45__18207']
PGLUCISOM__45__RXN__45__GLC__45__6__45__P__47____47__FRUCTOSE__45__6P__46__21__46__	['PGLUCISOM__45__RXN__45__GLC__45__6__45__P__47____47__FRUCTOSE__45__6P__46__21__46__']
RXN__45__18205	['RXN__45__18205']
RXN__45__18202	['RXN__45__18202']
RXN__45__18203	['RXN__45__18203']
RXN__45__18200	['RXN__45__18200']
RXN__45__18201	['RXN__45__18201']
RXN__45__15915	[]
RXN__45__9223	[]
PYRROLINECARBREDUCT__45__RXN__45__PRO__47__NADP__47____47__L__45__DELTA1__45__PYRROLINE_5__45__CARBOXYLATE__47__NADPH__47__PROTON__46__56__46__	['PYRROLINECARBREDUCT__45__RXN__45__PRO__47__NADP__47____47__L__45__DELTA1__45__PYRROLINE_5__45__CARBOXYLATE__47__NADPH__47__PROTON__46__56__46__']
RXN__45__18208	['RXN__45__18208']
RXN__45__18209	['RXN__45__18209']
HISTALDEHYD__45__RXN	['HISTALDEHYD__45__RXN']
TRANS__45__RXN__45__157__45__Hpr__45__pi__45__phospho__45__L__45__histidines__47__Glucopyranose__47____47__D__45__glucopyranose__45__6__45__phosphate__47__Hpr__45__Histidine__46__85__46__	[]
_2__46__6__46__1__46__57__45__RXN__45__PHE__47__2__45__KETOGLUTARATE__47____47__PHENYL__45__PYRUVATE__47__GLT__46__41__46__	['RXN__45__10814']
RXN__45__16909	['RXN__45__16909']
SAICARSYN__45__RXN	['SAICARSYN__45__RXN']
RXN__45__17783	['RXN__45__17783']
RXN__45__12561	['RXN__45__12561']
GLUTKIN__45__RXN	['GLUTKIN__45__RXN']
RXN__45__12565	['RXN__45__12565']
GAPOXNPHOSPHN__45__RXN	['GAPOXNPHOSPHN__45__RXN']
RXN__45__12567	[]
RXN__45__14207	['RXN__45__14207']
ACETOLACTATE__45__DECARBOXYLASE__45__RXN	['ACETOLACTATE__45__DECARBOXYLASE__45__RXN']
_2__45__OCTAPRENYL__45__METHOXY__45__BENZOQ__45__METH__45__RXN	['_2__45__OCTAPRENYL__45__METHOXY__45__BENZOQ__45__METH__45__RXN']
RXN__45__9205	['RXN__45__9205']
RXN__45__16938	['RXN__45__16938']
RXN__45__9366	['RXN__45__9366']
RXN__45__10462	[]
RXN__45__17645	['RXN__45__17645']
SUCCCOASYN__45__RXN	['SUCCCOASYN__45__RXN']
H2PTERIDINEPYROPHOSPHOKIN__45__RXN	['H2PTERIDINEPYROPHOSPHOKIN__45__RXN']
RXN__45__17729	['RXN__45__17729']
RXN__45__14026	['RXN__45__14026']
RXN__45__9361	['RXN__45__9361']
_2__46__1__46__1__46__77__45__RXN	['_2__46__1__46__1__46__77__45__RXN']
RXN__45__16456	['RXN__45__16456']
GMP__45__SYN__45__NH3__45__RXN	['GMP__45__SYN__45__NH3__45__RXN']
RXN__45__16616	['RXN__45__16616']
DTMPKI__45__RXN	['DTMPKI__45__RXN']
MYRISTOYLACYLTRAN__45__RXN	['MYRISTOYLACYLTRAN__45__RXN']
RXN1G__45__517	['RXN1G__45__517']
RXN__45__10	['RXN__45__10']
THRESYN__45__RXN	['THRESYN__45__RXN']
ALLOPHANATE__45__HYDROLASE__45__RXN	['ALLOPHANATE__45__HYDROLASE__45__RXN']
_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Cytochromes__45__C554__45__Red__47__PROTON__47____47__AMMONIUM__47__Cytochromes__45__C554__45__Ox__47__WATER__46__72__46__	['_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Cytochromes__45__C554__45__Red__47__PROTON__47____47__AMMONIUM__47__Cytochromes__45__C554__45__Ox__47__WATER__46__72__46__']
DGTPTRIPHYDRO__45__RXN	['DGTPTRIPHYDRO__45__RXN']
PGLYCDEHYDROG__45__RXN	['PGLYCDEHYDROG__45__RXN']
_4__46__1__46__1__46__32__45__RXN	['_4__46__1__46__1__46__32__45__RXN']
_4__46__1__46__1__46__81__45__RXN	['_4__46__1__46__1__46__81__45__RXN']
GLUTSEMIALDEHYDROG__45__RXN	['GLUTSEMIALDEHYDROG__45__RXN']
RXN__45__9758	['RXN__45__9758']
RXN__45__17788	['RXN__45__17788']
PRODISULFREDUCT__45__A__45__RXN__45__GLUTATHIONE__47__Oxidized__45__NrdH__45__Proteins__47____47__OXIDIZED__45__GLUTATHIONE__47__Reduced__45__NrdH__45__Proteins__46__79__46__	['PRODISULFREDUCT__45__A__45__RXN__45__GLUTATHIONE__47__Oxidized__45__NrdH__45__Proteins__47____47__OXIDIZED__45__GLUTATHIONE__47__Reduced__45__NrdH__45__Proteins__46__79__46__']
R342__45__RXN	['R342__45__RXN']
RXN__45__15045	[]
MCPMETEST__45__RXN	['MCPMETEST__45__RXN']
ISOLEUCINE__45____45__TRNA__45__LIGASE__45__RXN	['ISOLEUCINE__45____45__TRNA__45__LIGASE__45__RXN']
PYRROLINECARBDEHYDROG__45__RXN	['PYRROLINECARBDEHYDROG__45__RXN']
RXN0__45__4141	['RXN0__45__4141']
RXN__45__7607	['RXN__45__7607']
RXN__45__7605	['RXN__45__7605']
RXN__45__9518	['RXN__45__9518']
DIHYDROPYRIMIDINASE__45__RXN	['DIHYDROPYRIMIDINASE__45__RXN']
RXN__45__13416	['RXN__45__13416']
RXN__45__9514	['RXN__45__9514']
RXN__45__9845	['RXN__45__9845']
RXN__45__9516	['RXN__45__9516']
RXN__45__9510	['RXN__45__9510']
RXN__45__7609	['RXN__45__7609']
RXN1F__45__20	['RXN1F__45__20']
CATAL__45__RXN	['CATAL__45__RXN']
BTUR2__45__RXN	['BTUR2__45__RXN']
_5__46__3__46__3__46__10__45__RXN	['_5__46__3__46__3__46__10__45__RXN']
RXN__45__10702	[]
_2__46__8__46__1__46__6__45__RXN	['_2__46__8__46__1__46__6__45__RXN']
FGAMSYN__45__RXN	['FGAMSYN__45__RXN']
_6__46__3__46__1__46__10__45__RXN	[]
PRPPAMIDOTRANS__45__RXN	['PRPPAMIDOTRANS__45__RXN']
KDO__45__8PPHOSPHAT__45__RXN	['KDO__45__8PPHOSPHAT__45__RXN']
DIMETHUROPORDEHYDROG__45__RXN	['DIMETHUROPORDEHYDROG__45__RXN']
RXNN__45__404	[]
RXN__45__13008	['RXN__45__13008']
PROTEIN__45__KINASE__45__RXN	['PROTEIN__45__KINASE__45__RXN']
_2__46__7__46__1__46__148__45__RXN	['_2__46__7__46__1__46__148__45__RXN']
RXN__45__16619	[]
CHORISMATEMUT__45__RXN	[]
RXN__45__17848	['RXN__45__17848']
RXN__45__14025	['RXN__45__14025']
CHORISMATE__45__SYNTHASE__45__RXN	['CHORISMATE__45__SYNTHASE__45__RXN']
SPERMIDINESYN__45__RXN	['SPERMIDINESYN__45__RXN']
RXN__45__14812	['RXN__45__14812']
PDXJ__45__RXN	['PDXJ__45__RXN']
RXN__45__8642	['RXN__45__8642']
COENZYME__45__F420__45__HYDROGENASE__45__RXN	['COENZYME__45__F420__45__HYDROGENASE__45__RXN']
ACECOATRANS__45__RXN__45__PALMITYL__45__COA__47__ACET__47____47__PALMITATE__47__ACETYL__45__COA__46__40__46__	[]
GLUTRNAREDUCT__45__RXN	['GLUTRNAREDUCT__45__RXN']
RXN__45__15139	['RXN__45__15139']
PREPHENATEDEHYDRAT__45__RXN	['PREPHENATEDEHYDRAT__45__RXN']
GLUCOKIN__45__RXN	[]
_1__46__8__46__1__46__4__45__RXN	['_1__46__8__46__1__46__4__45__RXN']
RXN__45__18204	['RXN__45__18204']
TRANS__45__RXN__45__155B	[]
RXN__45__16318__45__HYDROXYLAMINE__47__Cytochromes__45__CL__45__Ox__47____47__CPD__45__14557__47__Cytochromes__45__CL__45__Red__47__PROTON__46__69__46__	['RXN__45__16318__45__HYDROXYLAMINE__47__Cytochromes__45__CL__45__Ox__47____47__CPD__45__14557__47__Cytochromes__45__CL__45__Red__47__PROTON__46__69__46__']
RXN1G__45__1053	['RXN1G__45__1053']
_3__45__ISOPROPYLMALISOM__45__RXN	['_3__45__ISOPROPYLMALISOM__45__RXN']
_1__46__2__46__7__46__8__45__RXN	['_1__46__2__46__7__46__8__45__RXN']
RXN__45__7101	['RXN__45__7101']
_1__46__2__46__7__46__5__45__RXN	['_1__46__2__46__7__46__5__45__RXN']
ADENYLOSUCCINATE__45__SYNTHASE__45__RXN	['ADENYLOSUCCINATE__45__SYNTHASE__45__RXN']
PYFLAVOXRE__45__RXN	['PYFLAVOXRE__45__RXN']
RXN__45__14257	['RXN__45__14257']
ASPDECARBOX__45__RXN	['ASPDECARBOX__45__RXN']
SULFATE__45__ADENYLYLTRANS__45__RXN	['SULFATE__45__ADENYLYLTRANS__45__RXN']
RXN__45__14394	['RXN__45__14394']
RXN66__45__579	['RXN66__45__579']
RXN__45__14396	['RXN__45__14396']
PABASYN__45__RXN	['PABASYN__45__RXN']
RXN__45__16077	['RXN__45__16077']
RXN__45__16076	['RXN__45__16076']
HISTAMINOTRANS__45__RXN	['HISTAMINOTRANS__45__RXN']
GDPPYPHOSKIN__45__RXN	['GDPPYPHOSKIN__45__RXN']
RXN__45__9527	['RXN__45__9527']
LYSINE__45__23__45__AMINOMUTASE__45__RXN	[]
RXN__45__15733	['RXN__45__15733']
CYTOCHROME__45__C__45__PEROXIDASE__45__RXN__45__HYDROGEN__45__PEROXIDE__47__Cytochromes__45__CL__45__Red__47__PROTON__47____47__Cytochromes__45__CL__45__Ox__47__WATER__46__69__46__	[]
N__45__ACETYLTRANSFER__45__RXN	['N__45__ACETYLTRANSFER__45__RXN']
CITTRANS__45__RXN	['CITTRANS__45__RXN']
RXN__45__11382	[]
RXN__45__11291	['RXN__45__11291']
CYTOCHROME__45__C__45__PEROXIDASE__45__RXN__45__HYDROGEN__45__PEROXIDE__47__Cytochromes__45__C554__45__Red__47__PROTON__47____47__Cytochromes__45__C554__45__Ox__47__WATER__46__73__46__	[]
RXN__45__9550	[]
DIHYDROOROT__45__RXN	['DIHYDROOROT__45__RXN']
BENZALDEHYDE__45__DEHYDROGENASE__45__NAD__43____45__RXN	['BENZALDEHYDE__45__DEHYDROGENASE__45__NAD__43____45__RXN']
PHOSPHASERDECARB__45__RXN	['PHOSPHASERDECARB__45__RXN']
_4__46__2__46__1__46__61__45__RXN	['_4__46__2__46__1__46__61__45__RXN']
RXN__45__9552	['RXN__45__9552']
UDPNACETYLGLUCOSAMACYLTRANS__45__RXN	['UDPNACETYLGLUCOSAMACYLTRANS__45__RXN']
RXN__45__8764	['RXN__45__8764']
RXN__45__14325	['RXN__45__14325']
RXN0__45__7192	['RXN0__45__7192']
RXN6666__45__5	['RXN6666__45__5']
RXN__45__14073	['RXN__45__14073']
RXN1G__45__260	['RXN1G__45__260']
TRANS__45__RXN__45__2	['_3__46__6__46__3__46__12__45__RXN', 'TRANS__45__RXN__45__2']
RXN__45__11410	['RXN__45__11410']
L__45__GLN__45__FRUCT__45__6__45__P__45__AMINOTRANS__45__RXN__45__FRUCTOSE__45__6P__47__GLN__47____47__CPD__45__13469__47__GLT__46__31__46__	['L__45__GLN__45__FRUCT__45__6__45__P__45__AMINOTRANS__45__RXN__45__FRUCTOSE__45__6P__47__GLN__47____47__CPD__45__13469__47__GLT__46__31__46__']
IMIDPHOSDEHYD__45__RXN	['IMIDPHOSDEHYD__45__RXN']
RXN__45__17778	['RXN__45__17778']
RXN__45__14260__45__MALTOPENTAOSE__47__GLC__47____47__MALTOTETRAOSE__47__MALTOSE__46__41__46__	['RXN__45__14260__45__MALTOPENTAOSE__47__GLC__47____47__MALTOTETRAOSE__47__MALTOSE__46__41__46__']
RXN__45__14177	['RXN__45__14177']
QUEUOSINE__45__TRNA__45__RIBOSYLTRANSFERASE__45__RXN	['QUEUOSINE__45__TRNA__45__RIBOSYLTRANSFERASE__45__RXN']
CPM__45__KDOSYNTH__45__RXN	['CPM__45__KDOSYNTH__45__RXN']
UREA__45__CARBOXYLASE__45__RXN	[]
RXN__45__17776	[]
RXN__45__1381__45__PALMITYL__45__COA__47__GLYCEROL__45__3P__47____47__1__45__PALMITOYLGLYCEROL__45__3__45__PHOSPHATE__47__CO__45__A__46__63__46__	[]
DGDPKIN__45__RXN	['DGDPKIN__45__RXN']
ISOCITDEH__45__RXN	['ISOCITDEH__45__RXN']
RXN__45__3443	['RXN__45__3443']
RXN0__45__5256	['RXN0__45__5256']
DIAMINOPIMEPIM__45__RXN	['DIAMINOPIMEPIM__45__RXN']
GDPKIN__45__RXN	['GDPKIN__45__RXN']
ACETOACETATE__45__DECARBOXYLASE__45__RXN	['ACETOACETATE__45__DECARBOXYLASE__45__RXN']
METHIONYL__45__TRNA__45__FORMYLTRANSFERASE__45__RXN	['METHIONYL__45__TRNA__45__FORMYLTRANSFERASE__45__RXN']
_2__46__7__46__10__46__1__45__RXN	['_2__46__7__46__10__46__1__45__RXN']
RXN3O__45__102	[]
METHIONINE__45____45__TRNA__45__LIGASE__45__RXN	['METHIONINE__45____45__TRNA__45__LIGASE__45__RXN']
RXN__45__9632	['RXN__45__9632']
RXN__45__9633	['RXN__45__9633']
RXN__45__10655	['RXN__45__10655']
ORNCARBAMTRANSFER__45__RXN	['ORNCARBAMTRANSFER__45__RXN', 'RXN__45__13482']
RXN__45__10657	[]
RXN__45__10656	[]
RXN__45__17607	['RXN__45__17607']
